fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
Poutre,Beam,IfcBeam,IfcBeamType BEAM,,Poutre,Structure / Poutre,YES,YES,
Solive,Joist,IfcBeam,IfcBeamType JOIST,,Poutre,Structure / Poutre,YES,YES,
Linteau,Lintel,IfcBeam,IfcBeamType LINTEL,,Poutre,Structure / Poutre,YES,YES,
Poutre en T,T-Beam,IfcBeam,IfcBeamType T_BEAM,,Poutre,Structure / Poutre,YES,YES,
,Mass,IfcBuildingElementProxy,IfcBuildingElementProxyType,,,,YES,,
Non défini,Other,IfcBuildingElementProxy,IfcBuildingElementProxyType *,,,,YES,,
Topographique / Terrain,Topography,IfcBuildingElementProxy,IfcBuildingElementProxyType,,,,YES,,
Arbre,Tree,IfcBuildingElementProxy,IfcBuildingElementProxyType,,Objet,,YES,,
Cheminée,Chimney,IfcBuildingElementProxy,IfcBuildingElementProxyType,,Objet,,YES,,
Plantation,Planting,IfcBuildingElementProxy,IfcBuildingElementProxyType,,Objet,,YES,,
Route,Road,IfcBuildingElementProxy,IfcBuildingElementProxyType,,Objet,,YES,,
Géométrie de site,Site Geometry,IfcBuildingElementProxy,IfcBuildingElementProxyType,,Terrain,,YES,,
Poteau,Column,IfcColumn,IfcColumnType COLUMN,,Poteau,Poteau Porteur / Architectural,YES,YES,
,Duct Insulation,IfcCovering,IfcCoveringType INSULATION,,,,,,YES
,Duct Lining,IfcCovering,IfcCoveringType INSULATION,,,,,,YES
Toiture,Roofing,IfcCovering,IfcCoveringType,,Toiture,Toit,YES,,
Plinthe,Baseboard,IfcCovering *,IfcCoveringType *,,,Composant in situ,YES,,
Revêtement,Covering,IfcCovering *,IfcCoveringType *,,,,YES,,
Moulure,Moulding,IfcCovering *,IfcCoveringType *,,,Composant in situ,YES,,
Plinthe,Skirting Board,IfcCovering *,IfcCoveringType *,,,Composant in situ,YES,,
Plafond,Ceiling,IfcCovering CEILING,IfcCoveringType CEILING,,Dalle,Plafond,YES,,
Bardage,Cladding,IfcCovering CLADDING,IfcCoveringType CLADDING,,,Mur,YES,,
Revêtement de sol,Flooring,IfcCovering FLOORING,IfcCoveringType FLOORING,,Dalle,Sol,YES,,
Isolation,Insulation,IfcCovering INSULATION,IfcCoveringType INSULATION,,,"Mur, Toit, Sol",YES,,
Manchon (isolation de tuyau),Pipe Insulation,IfcCovering INSULATION,IfcCoveringType INSULATION,,,,YES,,
Membrane d'étanchéité / pare-pluie / écran de sous-toiture,Membrane,IfcCovering MEMBRANE,IfcCoveringType MEMBRANE,,,"Mur, Toit, Sol",YES,,
Encoffrement / gaine,Sleeving,IfcCovering SLEEVING,IfcCoveringType SLEEVING,,,"Mur, Sol",YES,,
Manchon,Wrapping,IfcCovering WRAPPPING,IfcCoveringType WRAPPING,,,,YES,,
Mur-rideau,Curtain Wall,IfcCurtainWall,IfcCurtainWallType *,,Mur-rideau,Mur-rideau,YES,,
Système de mur-rideau,Curtain Wall System,IfcCurtainWall,IfcCurtainWallType,,Mur-rideau,Mur-rideau,YES,,
,Corbels (as separate elements),IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Discrete Accessory,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Electrical Accessories (for precast concrete elements),IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Shading Device,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Vibration Isolator,IfcDiscreteAccessory,IfcVibrationIsolatorType *,,,,,,
,Anchor Bolt,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Building Services Accessories,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Fixing Parts,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
,Joint Accessories,IfcDiscreteAccessory,IfcDiscreteAccessoryType,,,,,,
